Month,Region,Orders,AvgDeliveryDays,ReturnRate
2024-01,North,1660,5.34,0.142
2024-01,South,4244,5.97,0.179
2024-01,East,2485,5.18,0.08
2024-01,West,1984,5.03,0.153
2024-02,North,3704,4.13,0.121
2024-02,South,1775,5.2,0.093
2024-02,East,3805,7.01,0.087
2024-02,West,4690,5.18,0.143
2024-03,North,3235,3.19,0.082
2024-03,South,2163,5.85,0.176
2024-03,East,3356,4.52,0.106
2024-03,West,3873,3.99,0.109
2024-04,North,4643,5.55,0.092
2024-04,South,4598,5.03,0.215
2024-04,East,1137,5.26,0.165
2024-04,West,1292,5.04,0.192
2024-05,North,864,3.5,0.121
2024-05,South,1191,3.76,0.188
2024-05,East,4361,3.72,0.089
2024-05,West,3254,5.75,0.173
2024-06,North,3531,4.81,0.097
2024-06,South,3490,5.65,0.159
2024-06,East,1670,4.5,0.142
2024-06,West,1663,5.14,0.124
2024-07,North,4991,5.1,0.156
2024-07,South,1859,3.99,0.164
2024-07,East,4114,5.7,0.193
2024-07,West,4427,5.18,0.204
2024-08,North,2463,4.59,0.095
2024-08,South,2106,5.45,0.195
2024-08,East,2082,2.87,0.111
2024-08,West,1463,5.09,0.125
2024-09,North,2295,5.07,0.215
2024-09,South,4381,4.8,0.18
2024-09,East,2436,5.02,0.15
2024-09,West,1654,4.6,0.207
2024-10,North,4274,2.86,0.157
2024-10,South,4310,6.03,0.113
2024-10,East,1566,5.12,0.136
2024-10,West,4382,4.96,0.197
2024-11,North,1947,5.53,0.126
2024-11,South,2169,5.24,0.112
2024-11,East,3711,4.87,0.152
2024-11,West,3719,5.47,0.128
2024-12,North,4861,4.36,0.218
2024-12,South,4443,4.53,0.219
2024-12,East,4523,4.77,0.119
2024-12,West,2482,5.0,0.206
